resource,scheme,windows,event_windows,event_recall
cpu,snapshot,774759,13193,0.629197301599333
cpu,mean,774759,13193,0.4115061017206094
cpu,p95,774759,13193,0.8843326006215417
cpu,maximum,774759,13193,1.0
memory,snapshot,791683,958,0.162839248434238
memory,mean,791683,958,0.017745302713987474
memory,p95,791683,958,0.6336116910229646
memory,maximum,791683,958,1.0
disk,snapshot,811570,84661,0.18835118885909688
disk,mean,811570,84661,0.09619541465373667
disk,p95,811570,84661,0.5068095108727749
disk,maximum,811570,84661,1.0
network,snapshot,811570,55982,0.3328212639777071
network,mean,811570,55982,0.19282983816226645
network,p95,811570,55982,0.6075524275660034
network,maximum,811570,55982,1.0
